t,output_gap_obs,inflation_obs,interest_rate_obs,output_gap_true,inflation_true,interest_rate_true,output_gap_filt,inflation_filt,interest_rate_filt,output_gap_filt_std,inflation_filt_std,interest_rate_filt_std,ess,resampled
54,-0.326164,-0.31475,-0.201141,-0.181295,-0.131045,-0.190318,-0.21519339351228697,-0.14407256727584405,-0.24056072864065273,0.10706940211888476,0.08032007866393476,0.06815049614017567,2000.0,1
55,-0.066663,0.041086,-0.210135,0.049681,-0.132757,-0.166772,-0.12954667020085764,-0.049059439289500704,-0.22259043760077318,0.10487228092098126,0.08209948176220595,0.07005497534780601,1029.2650234688776,0
56,-0.118674,0.441721,-0.325236,-0.04558,0.013105,-0.116733,-0.10452526163048606,0.0649159028813575,-0.21336662433617867,0.10196572423666947,0.07942273410041926,0.07179733517539787,2000.0,1
57,-0.331868,0.040438,-0.105824,-0.056686,-0.014529,-0.144728,-0.14106678221320565,0.029927515585024406,-0.1559148070457937,0.10345357309857221,0.08059138738519789,0.06985898182278744,1060.7827703245314,0
58,-0.132084,0.03278,-0.243691,-0.00641,-0.054686,-0.205688,-0.1459896263759515,-0.029901371313999513,-0.1975408873618878,0.10592657826762168,0.08233237204636387,0.07033808806671085,2000.0,1
59,-0.279285,-0.124082,-0.347305,-0.133563,-0.050153,-0.137384,-0.2146167849092565,-0.11620498835955603,-0.2969341627959164,0.10713610311873767,0.08171894079149711,0.07148751185561358,1005.1638505285899,0
60,0.050099,-0.339734,-0.066602,-0.104207,-0.068202,-0.150559,-0.07532543858688133,-0.09586328787672616,-0.21265032862309435,0.1043451681217232,0.08313950781339709,0.07227484265031488,2000.0,1
61,0.198638,-0.091527,0.00931,0.036814,-0.001119,-0.13419,0.05504389911060037,-0.005856435464019428,-0.09254834776929274,0.10350646876367371,0.0808547821352818,0.07118405917865546,2000.0,1
62,0.114599,-0.07849,0.189923,0.143761,0.085445,0.04091,0.11871243140872732,0.05960027004836557,0.05751314108744608,0.10129364514322395,0.08150096076944682,0.0697947768889522,2000.0,1
63,0.069301,-0.252463,0.012052,0.147709,-0.035412,-0.023844,0.052289391156671965,-0.05626723281597118,0.015250653478414653,0.10357508563225823,0.07867583455990375,0.06938751372312349,2000.0,1
64,0.326015,0.502424,0.158195,0.29803,0.24407,0.15359,0.18362787159892033,0.17719786894281472,0.15923298068584202,0.10516673084485165,0.07482545654932626,0.06752219350824615,2000.0,1
65,0.066594,0.378081,0.414893,0.229909,0.337152,0.282077,0.1939345233947018,0.25331065687969917,0.34281216609794085,0.11075187462380524,0.08248536577118931,0.07050414051037045,2000.0,1
66,-0.111921,0.325095,0.53173,0.117445,0.268142,0.363492,0.13062551195823405,0.24429689764618176,0.46446641622836554,0.11134451348109403,0.08065849228895262,0.06813783802926167,2000.0,1
67,-0.082856,0.10293,0.516708,0.105188,0.149283,0.403351,0.06787527950582925,0.14453862841735787,0.47293950751861064,0.10951303627936537,0.08096620526793048,0.06948948872287097,1212.5916345152118,0
68,0.108455,0.128395,0.384971,0.235418,0.154325,0.479124,0.06230783285438302,0.09012126389965505,0.4177105025271827,0.10258498878314559,0.07874319062922325,0.06944080400797302,2000.0,1
69,-0.225836,0.219031,0.399818,0.006859,0.074349,0.379684,-0.004787205928081699,0.10831025910558263,0.3931759943803061,0.10797115209860683,0.07970179567074569,0.06989398430759973,2000.0,1
70,-0.083296,-0.090204,0.265174,-0.115708,-0.085353,0.221223,-0.053826633185847975,-0.0118483756455131,0.2799527087883252,0.10702398527932612,0.08181970058955146,0.07058553579114017,1134.6998683815136,0
