section,t,y_obs,h_true,h_mean,h_q05,h_q95,vol_mean,vol_q05,vol_q95,ess,parameter,true_value,post_mean,post_std,ci_low,ci_high,value
filtered,70.0,-0.67896382,-1.37700803,-1.1669508761315472,-1.2608483069426752,-1.0719825583429738,0.5579558519691108,0.5323659482471962,0.5850890160304318,899.1907133653793,,,,,,,
filtered,71.0,-0.43186299,-1.32554107,-1.1584976713872632,-1.2535304026536929,-1.0644653017949917,0.5603191002338339,0.5343174177647998,0.5872922861917955,960.6007976292356,,,,,,,
filtered,72.0,-0.16186997,-1.37807843,-1.1586404205291854,-1.253614454267696,-1.0658840069815738,0.5602791091256445,0.5342949631159639,0.5868758366078242,993.2226993098628,,,,,,,
filtered,73.0,0.49639328,-1.38785471,-1.1633096928069393,-1.2580817032871356,-1.0678585705722616,0.558972586989955,0.5331028806188858,0.5862967107054851,940.8944706916485,,,,,,,
filtered,74.0,-0.10978376,-1.35266178,-1.1620904914567505,-1.2606506290763642,-1.0660659777975217,0.5593134409381864,0.5324185693300323,0.5868224418995068,994.9891676638589,,,,,,,
filtered,75.0,-0.44104398,-1.49742999,-1.1544133362649234,-1.254659575021099,-1.0565152252119951,0.5614645349109245,0.5340158346758516,0.589631441553708,957.4418137246474,,,,,,,
filtered,76.0,0.09031712,-1.55545328,-1.1576237849186777,-1.2557224149514952,-1.0572438323319284,0.5605639813694077,0.5337321233911702,0.5894166758428134,994.0244028900544,,,,,,,
filtered,77.0,-0.40792157,-1.27360019,-1.1556324693957205,-1.2541634747449313,-1.0602621880722212,0.5611223891936749,0.534148313807436,0.5885278121347627,963.8454843031283,,,,,,,
filtered,78.0,-0.52820006,-1.11798126,-1.1498895128754805,-1.2487299717880327,-1.0572016595301157,0.5627359554870711,0.5356014350195253,0.5894291046501801,944.3479637236677,,,,,,,
filtered,79.0,-0.12753405,-1.29218339,-1.1527127624128515,-1.249407953006924,-1.0596896638886726,0.5619421438879512,0.5354199019333923,0.5886963094533786,994.0339888853205,,,,,,,
filtered,80.0,1.09970792,-1.3922018,-1.1597245402850713,-1.2587121748039072,-1.0648540675296656,0.5599754865983673,0.5329348540134049,0.587178137727853,791.4273002498261,,,,,,,
filtered,81.0,0.53603069,-1.50364374,-1.1649514695775154,-1.2603987622473103,-1.065322321330186,0.5585139211680799,0.5324856228404757,0.5870406796225142,937.2104094528497,,,,,,,
filtered,82.0,0.55862259,-1.62397351,-1.1723240126527006,-1.2685288437365676,-1.0739143709368866,0.5564588772491786,0.5303254406766263,0.5845241477144171,933.3094775861842,,,,,,,
filtered,83.0,-0.15135795,-1.54751166,-1.172334052173225,-1.2711506416947387,-1.0766245494446491,0.5564560839660299,0.5296306930693159,0.5837326017520531,992.9382793907675,,,,,,,
filtered,84.0,-0.25347522,-1.53720069,-1.1696358971909826,-1.2643383474481409,-1.072506225375484,0.5572072929493372,0.5314377689669935,0.5849358401702045,984.8059070128213,,,,,,,
filtered,85.0,-0.2982359,-1.45417384,-1.1674233192106396,-1.2609850824883964,-1.0700146450500578,0.5578240663446742,0.5323295421705282,0.5856650015824596,981.5524355770901,,,,,,,
filtered,86.0,-0.21924415,-1.62438949,-1.1647695267080937,-1.2600619719976263,-1.0682764375871254,0.5585647322919398,0.5325752983736599,0.5861742264732973,987.9578983696032,,,,,,,
filtered,87.0,0.58155072,-1.57976961,-1.1706233612842927,-1.263876900505179,-1.0778723045331582,0.5569322497565847,0.531560398280112,0.5833685376674828,928.6514440189507,,,,,,,
filtered,88.0,-0.08467948,-1.53837778,-1.1701608284794487,-1.2697460187374277,-1.077792346678459,0.5570610643690506,0.530002789432986,0.5833918605820776,996.2187808069368,,,,,,,
filtered,89.0,0.47159731,-1.47935253,-1.1763197327306054,-1.272045051353187,-1.0860421181079067,0.5553482600932333,0.529393892618769,0.5809903921267568,948.8041191906187,,,,,,,
filtered,90.0,-0.22751558,-1.43206458,-1.1755414301970357,-1.2784052186001995,-1.0883959514989892,0.5555644166282222,0.5277130497973533,0.5803070170509623,987.7058188625491,,,,,,,
filtered,91.0,-0.09717317,-1.25315933,-1.1747080319720642,-1.272424451658244,-1.0824831112270803,0.555795968067849,0.5292934760414127,0.5820251869658136,995.3577669399107,,,,,,,
filtered,92.0,-0.3666961,-1.01520115,-1.1705461436754456,-1.2658551511205782,-1.0815928809074031,0.5569537526599908,0.5310348783829633,0.5822843128660949,971.5754338705113,,,,,,,
filtered,93.0,-0.31451295,-1.19841547,-1.1667667760460838,-1.2627337130700425,-1.0795007653070685,0.5580072141930381,0.5318643217163657,0.5828937346030933,977.9857612852318,,,,,,,
filtered,94.0,0.4160433,-0.94482382,-1.1711112136488249,-1.2606135657368727,-1.080699247427239,0.5567964159665032,0.5324284360265485,0.5825445453783626,959.674327842384,,,,,,,
filtered,95.0,-0.14880065,-0.97340699,-1.1716322867703495,-1.2641751123251117,-1.078819625804293,0.5566513690390767,0.5314811453919083,0.5830922843854786,993.1273422657828,,,,,,,
filtered,96.0,-1.15824977,-0.75498813,-1.152401609704728,-1.2398518286680251,-1.0565066727911754,0.5620295755988679,0.5379842930429384,0.5896339629472073,722.7317733338306,,,,,,,
filtered,97.0,0.64160463,-0.89654754,-1.1591877841095288,-1.2495346164059695,-1.062869638252884,0.5601257919170841,0.5353859939547808,0.5877610336025381,921.4264578446154,,,,,,,
filtered,98.0,0.11941196,-0.95884189,-1.1640728654679746,-1.260866696642238,-1.0705040217264201,0.5587593313819257,0.5323610532447778,0.5855217137176413,992.6493118607633,,,,,,,
filtered,99.0,0.22863922,-0.98459306,-1.1667226888823947,-1.2676929612289205,-1.0624935924295684,0.5580195148063083,0.5305471318799599,0.5878715565335311,983.0078332670091,,,,,,,
filtered,100.0,-0.42464452,-0.77393299,-1.1647822661003864,-1.2635251845950237,-1.0626933703443997,0.5585611744156483,0.5316538856247596,0.5878128375893905,958.6768676114071,,,,,,,
filtered,101.0,-1.48984191,-0.68412418,-1.1425755040773296,-1.2324758624688823,-1.0506204415094655,0.564797650868641,0.5399720331464962,0.5913718800770039,579.9228270336803,,,,,,,
filtered,102.0,-0.49721322,-0.70090822,-1.1382243207636291,-1.225077280041758,-1.0476693941081447,0.5660277575453959,0.541973246197036,0.5922451073773201,947.7731502991752,,,,,,,
filtered,103.0,-0.09669504,-0.89270293,-1.1399968413084531,-1.2286360221835624,-1.044765227360005,0.5655263318604538,0.5410097321602719,0.5931057213415111,995.5595357382808,,,,,,,
filtered,104.0,0.59835268,-0.94604036,-1.1481918212123985,-1.2406498994346504,-1.0451930422956168,0.5632138343511912,0.5377696611000656,0.5929788651667429,923.5379333943442,,,,,,,
filtered,105.0,0.3887679,-1.14661806,-1.1573638725174653,-1.2492778576360615,-1.0628685365870363,0.5606368348684025,0.5354547308915061,0.587761357360756,966.0674888589509,,,,,,,
filtered,106.0,-0.02270995,-1.21484493,-1.1562652417137662,-1.2567591509839746,-1.0599348500003871,0.5609448859174867,0.5334555254251276,0.5886241437974253,996.5294335119481,,,,,,,
filtered,107.0,-0.02083244,-1.05798591,-1.157772943095217,-1.2620905773792097,-1.0615750542929194,0.5605221765776613,0.5320353796822506,0.5881416097643958,996.7990014740146,,,,,,,
filtered,108.0,-0.5231769,-0.85563661,-1.1483181865160872,-1.2523398740862808,-1.0474963051918085,0.5631782501317459,0.5346355725234448,0.5922963651272459,939.4899402286823,,,,,,,
filtered,109.0,0.09514932,-0.96435891,-1.1507225765573283,-1.2531325469181211,-1.0502239260867896,0.5625016068538,0.5344237189622213,0.5914891357355327,993.7039230980076,,,,,,,
filtered,110.0,0.01990159,-0.92905362,-1.1515445494579892,-1.2509846540817162,-1.0505589925681913,0.562270473814621,0.5349979697030732,0.5913900499440973,996.3781246105541,,,,,,,
filtered,111.0,0.35913665,-1.09384022,-1.1549951930554792,-1.2595729385398209,-1.0537933348151463,0.5613012126934647,0.532705537865731,0.5904344439301032,968.94977726626,,,,,,,
filtered,112.0,1.21805926,-1.05679077,-1.1634790010429574,-1.2641198387378352,-1.0664641726060748,0.5589252696614437,0.5314958340296185,0.5867056187045367,751.5453716597168,,,,,,,
filtered,113.0,-1.13932572,-0.77356035,-1.1461901397812886,-1.2513893457936265,-1.0539136515962992,0.563777803862922,0.5348897260326577,0.5903989254125945,742.6037961247202,,,,,,,
filtered,114.0,-0.74444528,-0.82346105,-1.137688980324875,-1.2408839777449527,-1.036831314455298,0.5661792865984343,0.5377067246763493,0.5954632188631065,877.2823912558247,,,,,,,
filtered,115.0,0.35946912,-0.91736327,-1.1459960592409906,-1.2575000827245688,-1.045201032670016,0.5638325156678942,0.5332579349621575,0.5929764961099036,971.2906074961509,,,,,,,
filtered,116.0,-0.85303706,-0.73896433,-1.132610967600809,-1.2413538553605852,-1.0343199085941939,0.567618645907138,0.5375804113380327,0.5962114134288111,845.0669514948806,,,,,,,
filtered,117.0,-1.00447363,-0.84491736,-1.117725921337855,-1.2210209233307798,-1.0243858251995068,0.5718589204068948,0.5430735800637072,0.5991801872878445,785.7478349060145,,,,,,,
filtered,118.0,-0.54181345,-0.87396973,-1.1183988356945431,-1.217264102487046,-1.0247865728786028,0.5716665467326904,0.5440946538339133,0.5990601392807783,941.7407709709431,,,,,,,
filtered,119.0,-0.30652382,-0.95716655,-1.1214536348665702,-1.2193620115487331,-1.0281296770199486,0.5707940499810858,0.5435242225121303,0.5980596155112576,977.7393884641045,,,,,,,
filtered,120.0,-0.90704292,-0.97259094,-1.1164875458931451,-1.2157501628864849,-1.0247253836863128,0.5722131180754373,0.5445066729787105,0.5990784675641778,839.188577729711,,,,,,,
filtered,121.0,1.41919068,-1.19347,-1.1270434571210044,-1.2238751559457317,-1.0337393301419198,0.569200958650827,0.5422991036668323,0.5963845123017829,680.3069779020898,,,,,,,
filtered,122.0,-0.15348911,-1.38077928,-1.1290651380036776,-1.2275064543153862,-1.0312874253294055,0.568625878008928,0.5413153720673114,0.5971160996837205,993.5003432211014,,,,,,,
